date,rate
2003-12-31,14.00
2004-06-15,13.00
2006-06-26,11.50
2006-10-23,11.00
2007-01-29,10.50
2007-06-19,10.00
2008-02-04,10.25
2008-04-29,10.50
2008-06-10,10.75
2008-07-14,11.00
2008-11-12,12.00
2008-12-01,13.00
2009-04-24,12.50
2009-05-14,12.00
2009-06-05,11.50
2009-07-13,11.00
2009-08-10,10.75
2009-09-15,10.50
2009-09-30,10.00
2009-10-30,9.50
2009-11-25,9.00
2009-12-28,8.75
2010-02-24,8.50
2010-03-29,8.25
2010-04-30,8.00
2010-06-01,7.75
2011-02-28,8.00
2011-05-03,8.25
2011-12-26,8.00
2012-09-14,8.25
2013-09-13,5.50
2014-03-03,7.00
2014-04-28,7.50
2014-07-28,8.00
2014-11-05,9.50
2014-12-12,10.50
2014-12-16,17.00
2015-02-02,15.00
2015-03-16,14.00
2015-05-05,12.50
2015-06-16,11.50
2015-08-03,11.00
2016-06-14,10.50
2016-09-19,10.00
2017-03-27,9.75
2017-05-02,9.25
2017-06-19,9.00
2017-09-18,8.50
2017-10-30,8.25
2017-12-18,7.75
2018-02-12,7.50
2018-03-26,7.25
2018-09-17,7.50
2018-12-17,7.75
2019-06-17,7.50
2019-07-29,7.25
2019-09-09,7.00
2019-10-28,6.50
2019-12-16,6.25
2020-02-10,6.00
2020-04-27,5.50
2020-06-22,4.50
2020-07-27,4.25
2021-03-22,4.50
2021-04-26,5.00
2021-06-15,5.50
2021-07-26,6.50
2021-09-13,6.75
2021-10-25,7.50
2021-12-20,8.50
2022-02-11,9.50
2022-02-28,20.00
2022-04-11,17.00
2022-05-04,14.00
2022-05-27,11.00
2022-06-14,9.50
2022-07-25,8.00
2022-09-19,7.50
2023-07-24,8.50
2023-08-15,12.00
2023-09-18,13.00
2023-10-30,15.00
2023-12-18,16.00
2024-07-29,18.00
2024-09-16,19.00
2024-10-28,21.00
2025-06-09,20.00
2025-07-28,18.00
2025-09-15,17.00
2025-10-27,16.50
